Placement,Team,Elo,LastPlayed
1,Vitality,1350,2026-05-16 03:59:00.436214
2,Spirit,1277,2026-05-17 15:30:00.081119
3,Team Falcons,1235,2026-05-24 11:04:40.586731
4,Natus Vincere,1228,2026-05-17 22:30:39.252388
5,MOUZ,1185,2026-05-24 05:41:05.673135
6,TheMongolz,1150,2026-05-21 12:32:55.242264
7,FURIA,1144,2026-05-15 20:07:57.112831
8,Legacy,1096,2026-05-24 11:04:40.587020
9,Astralis,1094,2026-05-14 01:33:37.598921
10,Aurora Gaming,1093,2026-05-12 09:25:13.215303
11,FUT Esports,1078,2026-05-13 17:50:57.524443
12,PARIVISION,1071,2026-05-21 15:59:53.175498
13,SAW,1064,2026-04-29 18:09:28.940438
14,GamerLegion,1058,2026-05-17 22:30:39.251971
15,G2,1053,2026-05-15 10:56:25.713104
16,B8,1048,2026-06-02 18:38:28.564641
17,9z,1036,2026-05-15 15:10:31.465246
18,EYEBALLERS,1021,2026-04-09 14:12:41.535457
19,magic,1016,2026-05-16 14:43:18.549493
20,3DMAX,1002,2026-05-20 06:03:37.440610
21,Inner Circle Esports,998,2026-04-07 11:35:14.356755
22,BetBoom Team,997,2026-06-02 21:35:22.509255
23,HOTU,996,2026-04-15 18:16:49.728354
24,9INE,995,2026-04-29 18:09:28.940361
25,FaZe,994,2026-05-13 17:50:57.515338
26,Team Next Level,987,2026-05-03 20:48:02.832186
27,Venom,986,2026-04-15 20:31:09.253109
27,Monte,986,2026-05-13 10:46:37.780632
27,THUNDER dOWNUNDER,986,2026-06-02 18:38:28.564923
30,FOKUS,985,2026-04-08 10:39:47.119105
31,FriendlyCampers,983,2026-04-29 18:09:28.940123
31,ODDIK,983,2026-04-29 18:09:28.940205
33,Sharks,981,2026-06-02 18:38:28.544398
33,Wildcard Gaming,981,2026-04-29 18:09:28.940032
35,Gentle Mates,978,2026-05-12 15:59:25.182335
35,paiN,978,2026-05-21 15:59:53.169861
37,Nemiga,975,2026-05-02 19:39:28.055747
38,RED Canids,972,2026-04-15 16:02:09.663007
39,Imperial,971,2026-04-29 18:09:28.939933
40,Virtus.pro,966,2026-04-29 18:09:28.939847
40,SemperFi Esports,966,2026-06-02 14:56:41.157811
40,Chinggis Warriors,966,2026-04-29 18:09:28.939769
43,K27,960,2026-05-11 12:48:55.536671
43,ENCE,960,2026-04-29 18:09:28.939690
45,Fisher College,956,2026-05-11 15:50:03.929583
45,M80,956,2026-06-02 18:38:28.544069
47,Rooster,954,2026-03-29 14:21:14.592947
48,Metizport,951,2026-04-29 18:09:28.939608
49,Gaimin Gladiators,950,2026-06-02 14:56:41.159034
50,Heroic,948,2026-06-02 18:38:28.570835
51,Voca,946,2026-04-06 18:10:17.890932
51,FlyQuest,946,2026-04-29 18:09:28.939527
53,ECSTATIC,944,2026-04-29 18:09:28.939444
54,Complexity,941,2026-05-09 08:13:02.313434
55,Sinners,938,2026-06-03 17:10:18.162056
56,Liquid,936,2026-06-02 21:35:22.509604
57,fnatic,935,2026-04-29 18:09:28.939274
58,OG,931,2026-04-29 18:09:28.939090
59,Wildcard,930,2026-04-08 15:50:23.180925
60,Lynn Vision,928,2026-06-02 18:38:28.571106
61,The Huns Esports,925,2026-05-12 11:30:03.296350
62,TYLOO,921,2026-06-03 17:10:18.161707
63,MIBR,918,2026-06-02 18:38:28.551327
64,Rare Atom,910,2026-04-29 18:09:28.938884
65,Fluxo,905,2026-04-29 18:09:28.938726
65,BC.Game Esports,905,2026-05-21 09:38:50.991176
67,Passion UA,904,2026-05-13 01:30:36.067046
68,BIG,903,2026-06-02 18:38:28.577154
69,NIP,896,2026-05-21 09:38:51.001272
70,NRG,894,2026-06-02 18:38:28.557878
